Id;Obra;Bloco;Unidade;Nome;CPF_CNPJ;PercentualParticipacao;Principal;CreatedOn;ModifiedOn;Ativo;CodClienteSap
1;175;1;402;CLIENTE 1;111.111.111-11;50.00;1;2014-11-24 16:09:13.193;2014-11-24 16:09:13.193;1;192673
2;175;1;402;CLIENTE 2;111.111.111-12;50.00;0;2014-11-24 16:09:13.200;2014-11-24 16:09:13.200;1;192675
3;175;1;406;CLIENTE 3;111.111.111-13;50.00;1;2014-11-24 16:11:00.690;2014-11-24 16:11:00.690;1;150987
4;175;1;406;CLIENTE 4;111.111.111-14;50.00;0;2014-11-24 16:11:00.690;2014-11-24 16:11:00.690;1;150992
5;175;1;501;CLIENTE 5;111.111.111-15;50.00;1;2014-11-24 16:11:41.520;2014-11-24 16:11:41.520;1;162316
6;175;1;501;CLIENTE 6;111.111.111-16;50.00;0;2014-11-24 16:11:41.520;2014-11-24 16:11:41.520;1;162320
7;175;1;503;CLIENTE 7;111.111.111-17;50.00;1;2014-11-24 16:11:41.533;2014-11-24 16:11:41.533;1;136533
8;175;1;503;CLIENTE 8;111.111.111-18;50.00;0;2014-11-24 16:11:41.533;2014-11-24 16:11:41.533;1;136534
9;175;1;504;CLIENTE 9;111.111.111-19;100.00;1;2014-11-24 16:11:41.543;2014-11-24 16:11:41.543;1;172905
10;175;1;505;CLIENTE 10;111.111.111-20;50.00;0;2014-11-24 16:11:41.557;2014-11-24 16:11:41.557;1;155663
11;175;1;505;CLIENTE 11;111.111.111-21;50.00;1;2014-11-24 16:11:41.557;2014-11-24 16:11:41.557;1;155664
12;175;1;506;CLIENTE 12;111.111.111-22;50.00;0;2014-11-24 16:11:41.570;2014-11-24 16:11:41.570;1;120142
13;175;1;506;CLIENTE 13;111.111.111-23;50.00;1;2014-11-24 16:11:41.570;2014-11-24 16:11:41.570;1;120129
14;175;1;601;CLIENTE 14;111.111.111-24;50.00;0;2014-11-24 16:11:41.580;2014-11-24 16:11:41.580;1;81467
15;175;1;601;CLIENTE 15;111.111.111-25;50.00;1;2014-11-24 16:11:41.580;2014-11-24 16:11:41.580;1;81469
16;175;1;602;CLIENTE 16;111.111.111-26;50.00;0;2014-11-24 16:11:41.593;2014-11-24 16:11:41.593;1;116836
17;175;1;602;CLIENTE 17;111.111.111-27;50.00;1;2014-11-24 16:11:41.593;2014-11-24 16:11:41.593;1;116841
18;175;1;603;CLIENTE 18;111.111.111-28;50.00;1;2014-11-24 16:11:41.607;2014-11-24 16:11:41.607;1;162501
19;175;1;603;CLIENTE 19;111.111.111-29;50.00;0;2014-11-24 16:11:41.607;2014-11-24 16:11:41.607;1;162502
20;175;1;604;CLIENTE 20;111.111.111-30;100.00;1;2014-11-24 16:11:41.617;2014-11-24 16:11:41.617;1;153763
