Id;DataAcesso;Hash;DataExpiracao;Cliente;TipoAcesso;LoginAtendente;TipoSessao;Origem
539;2018-06-27 00:00:20.667;f0cd1134cfd8400f34d5ad0b8606b473d328b6653d1886d9332d27dc59fe1c10d70ba1a72d5050894ade458957a6aabf4711da720555010a16254ec3394b3971;2018-06-27 01:30:20.667;111.111.111-11;1;;;
540;2018-06-27 00:00:27.993;cfdd4760e51fda8f268706468306199cd781be72417b364cfd33aed9c40d6dbc2c0eb7079c3994970dbbd36dcb1910671e8b884c149dd7b6e79a39dee27482ae;2018-06-27 01:31:44.807;111.111.111-12;1;;;
541;2018-06-27 00:03:40.817;9895b5f5ef307ff986bb2e22af5573d30b302f9fca30b55305d881193a6a18b6e0a4d01c5d1f93a2192a7f72c1fa05616ee9d36dec53497398f70cb73282c1e9;2018-06-27 01:33:40.817;111.111.111-13;1;;;
542;2018-06-27 00:05:09.650;0d3dfd5923f81bff38aef2efa1809f4e5851169d859cb9ab114fc094f30517ab63b847b5922bd7bd490e14e3d533125c1e49dc9b416457ccffdbee0dbdec41cf;2018-06-27 01:35:09.650;111.111.111-14;1;;;
543;2018-06-27 00:14:46.413;6fb868671668c9334fab13e3f0641b5d65b1f873762c0e2d224d8843c2a2a2ce7ea0b2f405111c98cb2daf19eae6eb12f750537ffcb9ad3134c1da6ea9dbee77;2018-06-27 01:46:23.797;111.111.111-15;1;;;
544;2018-06-27 00:16:48.197;9e0937f267211056f6814083d997c216068aa352fefac8a15129a2ecd29a4192aaa601d5a6ca9f8a909fbcf6ac8530f6cf5cf286f637dd1561b6cc7207655e7c;2018-06-27 01:46:49.557;111.111.111-16;1;;;
545;2018-06-27 00:17:26.567;66271be67feb3e540734917e489539be3063bf15aa95e96bf7ea029328db4db26bd11c546411a5fd39151105ddb7c9a008ab1bf2aff8e13b23de08bd27a62d50;2018-06-27 01:47:26.567;111.111.111-17;1;;;
546;2018-06-27 00:29:28.900;27e5fa1b760c0a0226f581b4b508b670a74f58633065d0fb6cd141aa5aae14018113afd666216f68c06da2fb15f2f931ed44f07386ee391307d490b5c1cccf31;2018-06-27 02:05:03.820;111.111.111-18;3;;;100000016
547;2018-06-27 00:38:15.350;cd1a1d4178278002d09ab4ebacadac6caa7ace610fc88b7bebaeda9c563f81c089158348b2cefa0c8b21755a8f73f2c629a74b8917ad6aefbe929ff47058c0a7;2018-06-27 02:08:16.693;111.111.111-19;3;;;100000016
548;2018-06-27 00:54:29.943;148867f691e1d3637b8f1e377b5fc4990a813a6b54913e3070228fd8104ae10228bee3ac33cc4f1268d2ae4663fb33ba50bc276ecb86a97248096d9c531deab5;2018-06-27 02:27:23.410;111.111.111-20;1;;;100000016
